Molecule name: ch3oh_a
Physical parameters at a given cloud nb: 86
velocity gradient   -2.6078e-11 cm/s/cm
cloud height        1.0824e+17 cm
turb velocity       5.0000e+04 cm/s
gas temperature     2.6066e+02 K
h concentration     1.2819e+02 cm-3
h2 concentration    3.6226e+04 cm-3
molecule concentr   3.7502e-02 cm-3
nb of mol levels    768

Dust:
name            2_comp_model
dust mass per H 2.2583e-26
temperature (K) 1.2460e+01      

External radiation field:
No

The number of transitions	16
v, j, k1, k2, sym inv (upper) -> v, j, k1, k2, sym inv (lower)

0    1    -1   0    0     -> 0    1    1    0    0    8.3428554e+08  

mean inv       4.900e-04
mean gain      1.371e-18 cm-1
optical depth  1.484e-01
mean lum       0.000e+00 ph/cm3/s
At fixed layer:
exc temp       -1.261e-01 K
loss rate      0.000e+00 s-1
satur tau      0.000e+00

relative depth   inversion    gain         luminosity   
3.085e-01        2.519e-04    2.953e-19    0.000e+00    
3.128e-01        2.733e-04    3.492e-19    0.000e+00    
3.177e-01        2.933e-04    4.019e-19    0.000e+00    
3.232e-01        3.154e-04    4.623e-19    0.000e+00    
3.288e-01        3.354e-04    5.172e-19    0.000e+00    
3.348e-01        3.539e-04    5.669e-19    0.000e+00    
3.410e-01        3.710e-04    6.099e-19    0.000e+00    
3.471e-01        3.868e-04    6.449e-19    0.000e+00    
3.529e-01        4.001e-04    6.728e-19    0.000e+00    
3.587e-01        4.131e-04    6.990e-19    0.000e+00    
3.636e-01        4.260e-04    7.247e-19    0.000e+00    
3.679e-01        4.353e-04    7.448e-19    0.000e+00    
3.729e-01        4.484e-04    7.743e-19    0.000e+00    
3.780e-01        4.635e-04    8.106e-19    0.000e+00    
3.824e-01        4.793e-04    8.523e-19    0.000e+00    
3.867e-01        4.925e-04    8.894e-19    0.000e+00    
3.910e-01        5.100e-04    9.415e-19    0.000e+00    
3.951e-01        5.265e-04    9.914e-19    0.000e+00    
3.992e-01        5.475e-04    1.058e-18    0.000e+00    
4.035e-01        5.658e-04    1.120e-18    0.000e+00    
4.069e-01        5.904e-04    1.207e-18    0.000e+00    
4.104e-01        6.016e-04    1.246e-18    0.000e+00    
4.151e-01        6.321e-04    1.356e-18    0.000e+00    
4.193e-01        6.586e-04    1.459e-18    0.000e+00    
4.234e-01        6.878e-04    1.572e-18    0.000e+00    
4.263e-01        7.170e-04    1.688e-18    0.000e+00    
4.292e-01        7.287e-04    1.736e-18    0.000e+00    
4.325e-01        7.610e-04    1.870e-18    0.000e+00    
4.359e-01        7.803e-04    1.951e-18    0.000e+00    
4.394e-01        8.169e-04    2.108e-18    0.000e+00    
4.426e-01        8.383e-04    2.201e-18    0.000e+00    
4.457e-01        8.727e-04    2.350e-18    0.000e+00    
4.490e-01        8.941e-04    2.446e-18    0.000e+00    
4.525e-01        9.298e-04    2.609e-18    0.000e+00    
4.560e-01        9.552e-04    2.729e-18    0.000e+00    
4.593e-01        9.884e-04    2.885e-18    0.000e+00    
4.627e-01        1.010e-03    2.992e-18    0.000e+00    
4.660e-01        1.039e-03    3.137e-18    0.000e+00    
4.696e-01        1.056e-03    3.230e-18    0.000e+00    
4.730e-01        1.088e-03    3.389e-18    0.000e+00    
4.764e-01        1.106e-03    3.476e-18    0.000e+00    
4.807e-01        1.134e-03    3.618e-18    0.000e+00    
4.838e-01        1.160e-03    3.746e-18    0.000e+00    
4.870e-01        1.170e-03    3.794e-18    0.000e+00    
4.904e-01        1.191e-03    3.902e-18    0.000e+00    
4.936e-01        1.203e-03    3.958e-18    0.000e+00    
4.973e-01        1.217e-03    4.027e-18    0.000e+00    
5.015e-01        1.217e-03    4.045e-18    0.000e+00    
5.060e-01        1.221e-03    4.069e-18    0.000e+00    
5.093e-01        1.223e-03    4.081e-18    0.000e+00    
5.126e-01        1.226e-03    4.091e-18    0.000e+00    
5.169e-01        1.228e-03    4.091e-18    0.000e+00    
5.209e-01        1.230e-03    4.085e-18    0.000e+00    
5.251e-01        1.230e-03    4.068e-18    0.000e+00    
5.292e-01        1.233e-03    4.052e-18    0.000e+00    
5.334e-01        1.240e-03    4.046e-18    0.000e+00    
5.375e-01        1.235e-03    3.993e-18    0.000e+00    
5.415e-01        1.227e-03    3.934e-18    0.000e+00    
5.457e-01        1.219e-03    3.865e-18    0.000e+00    
5.500e-01        1.206e-03    3.779e-18    0.000e+00    
5.544e-01        1.194e-03    3.693e-18    0.000e+00    
5.592e-01        1.182e-03    3.603e-18    0.000e+00    
5.639e-01        1.168e-03    3.498e-18    0.000e+00    
5.681e-01        1.156e-03    3.406e-18    0.000e+00    
5.725e-01        1.147e-03    3.328e-18    0.000e+00    
5.770e-01        1.133e-03    3.227e-18    0.000e+00    
5.815e-01        1.123e-03    3.136e-18    0.000e+00    
